"Fish_ID_Revised","Fish_ID","GillClip_ID_Revised","GillClip_ID","Collection_Date","Processing_Date","runtime","Col_Location_Lat","Col_Location_Long","site","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","DWP.","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Oto_Well_ID","Strontium_marked_Y.N","Scales_Y.N","Scales_num","Fish_Ground_Y.N","Gonad_Saved_Y.N","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Dissect_Comments","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Dry_Comments","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_2","Bomb_ID_2","Bomb_PelletWt_g_2","EE_value_2","EnergyDensity_mJ.kg_2","EnergyPDry_2.1","Bomb_ID_3","Bomb_PelletWt_g_3","EE_value_3","EnergyDensity_mJ.kg_3","EnergyPDry_3","Bomb_ID_4","Bomb_PelletWt_g_4","EE_value_4","EnergyDensity_mJ.kg_4","EnergyPDry_4","BC_comments"
"BC-39-2021","BC-39-2021","BC-39-21","BC-L-39","6/18/2021 (BC)","6/24/2021","Middle",60.73831,-144.5687,"BC",1.752,43.2,NA,2.9,NA,11.5,NA,6.8,28.4,"F",0.138,"1-D6",10,0.626,NA,NA,NA,NA,4.1,NA,NA,1.538,"1-C6","N","Y",5,"Y","Y",0.068,9.1,7.4,6.5,6.3,2.4,2.6,1.6,2.2,NA,"9/27/2021",121,"10/1/2021",39.2,0.676,0.324,NA,"10/5/2021",2,0.3416,955.4635,27.2615,8.831824793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-40-2021","BC-40-2021","BC-40-21","BC-L-40","6/18/2021 (BC)","6/24/2021","Middle",60.73831,-144.5687,"BC",1.862,42.9,NA,3.8,NA,11.5,NA,6.8,28.5,"F",0.136,"1-D3",10,0.5761,NA,NA,NA,NA,4.6,NA,NA,1.646,"1-C3","N","Y",5,"Y","Y",0.062,6.9,7.6,6.6,6.9,1.8,2.3,1.2,1.8,NA,"10/4/2021",112.2,"10/8/2021",35.3,0.6854,0.3146,NA,"10/8/2021",2,0.305,955.4635,27.1877,8.553705971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-41-2021","BC-41-2021","BC-41-21","BC-L-41","7/8/2021 (BC)","7/24/2021","Late",60.73831,-144.5687,"BC",2.19,45.2,NA,4.3,NA,13.1,NA,6.9,31.9,"F",0.148,"3-A5",10,0.3738,NA,NA,NA,NA,4,NA,NA,1.966,"2-A5","N","Y",5,"Y","Y",0.078,9.2,9.1,6.4,8.9,3.7,5.3,3.3,4.8,NA,"9/27/2021",69,"10/1/2021",23.7,0.6565,0.3435,NA,"10/5/2021",4,0.2655,923.3249,26.6856,9.165923478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-42-2021","BC-42-2021","BC-42-21","BC-L-42","7/8/2021 (BC)","7/24/2021","Late",60.73831,-144.5687,"BC",2.43,49.9,NA,3.8,NA,11.8,NA,6.9,30.2,"F",0.152,"3-B1",10,0.414,NA,NA,NA,NA,4.4,NA,NA,2.206,"2-A9","Y","Y",5,"Y","Y",0.074,9,8.5,5.1,8.1,2.3,4,1.8,3.5,NA,"10/4/2021",117.2,"10/8/2021",41.1,0.6493,0.3507,NA,"10/8/2021",4,0.3305,923.3249,26.7827,9.392226706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-43-2021","BC-43-2021","BC-43-21","BC-L-43","7/8/2021 (BC)","7/24/2021","Late",60.73831,-144.5687,"BC",2.164,46.7,NA,4.1,NA,12.2,NA,6.5,30.5,"F",0.112,"3-B2",10,0.1996,NA,NA,NA,NA,3.8,NA,NA,1.966,"2-A10","N","Y",6,"Y","Y",0.052,8,6.7,6.4,6.6,3.8,5.8,3.9,4.1,NA,"9/27/2021",83,"10/4/2021",28.2,0.6602,0.3398,NA,"10/5/2021",2,0.2934,955.4635,26.6235,9.045574699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-44-2021","BC-44-2021","BC-44-21","BC-L-44","7/8/2021 (BC)","7/23/2021","Late",60.73831,-144.5687,"BC",2.368,46.1,NA,5.3,NA,12.3,NA,7.1,31,"M",0.042,"2-C6",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.252,"1-F10","Y","Y",6,"Y","Y",0.022,6.3,6.6,6.1,6.6,1.9,3.5,2.6,3.2,NA,"9/27/2021",85,"10/1/2021",29.5,0.6529,0.3471,NA,"10/5/2021",4,0.2868,923.3249,26.7043,9.267962941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-45-2021","BC-45-2021","BC-45-21","BC-L-45","7/8/2021 (BC)","7/24/2021","Late",60.73831,-144.5687,"BC",1.762,41.4,NA,2.8,NA,11.2,NA,6.8,28.7,"F",0.138,"3-B3",10,0.3523,NA,NA,NA,NA,4.2,NA,NA,1.552,"2-A11","N","Y",5,"Y","Y",0.064,3.4,3.7,3.1,2.9,2.6,4.1,1.2,1.6,NA,"9/27/2021",87,"10/1/2021",26.8,0.692,0.308,NA,"10/5/2021",2,0.3052,955.4635,25.0496,7.716428506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-46-2021","BC-46-2021","BC-46-21","BC-L-46","7/8/2021 (BC)","7/24/2021","Late",60.73831,-144.5687,"BC",2.244,47.4,NA,3.5,NA,12.1,NA,6.8,30.7,"F",0.17,"3-B5",10,0.3948,NA,NA,NA,NA,4.25,NA,NA,2.004,"2-B1","N","Y",5,"Y","Y",0.074,3,2.8,2.6,1.7,0.8,1.2,1.4,0.9,NA,"9/27/2021",95,"10/1/2021",31.2,0.6716,0.3284,NA,"10/5/2021",4,0.3209,923.3249,24.7605,8.131869474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-47-2021","BC-47-2021","BC-47-21","BC-L-47","7/8/2021 (BC)","7/24/2021","Late",60.73831,-144.5687,"BC",1.898,44.5,NA,4.9,NA,11.3,NA,6.5,28.2,"M",0.068,"3-B6",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,"2-B2","N","Y",6,"Y","Y",0.032,7.3,5.7,6.7,5.3,4.5,4.7,2.8,3.9,NA,"9/27/2021",114,"10/1/2021",37.7,0.6693,0.3307,NA,"10/5/2021",2,0.2791,955.4635,27.1564,8.980669123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-48-2021","BC-48-2021","BC-48-21","BC-L-48","7/8/2021 (BC)","7/23/2021","Late",60.73831,-144.5687,"BC",2.31,47.1,NA,4.7,NA,12.4,NA,7.1,31.7,"M",0.05,"2-C5",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,"1-F9","N","Y",6,"Y","Y",0.028,7.4,8,7.8,8.5,2.8,6.2,3.1,6.1,NA,"9/27/2021",121,"10/1/2021",41.3,0.6587,0.3413,NA,"10/5/2021",4,0.3354,923.3249,25.7988,8.805706116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-49-2021","BC-49-2021","BC-49-21","BC-L-49","7/8/2021 (BC)","7/24/2021","Late",60.73831,-144.5687,"BC",2.172,46.8,NA,3.1,NA,11.6,NA,6.5,29.6,"F",0.136,"3-B4",10,0.3098,NA,NA,NA,NA,4,NA,NA,1.954,"2-A12","N","Y",5,"Y","Y",0.07,6.5,7.6,6.2,6.2,4.4,3,1.7,1.9,NA,"9/27/2021",92,"10/1/2021",29.9,0.675,0.325,NA,"10/5/2021",2,0.3456,955.4635,25.7946,8.383245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-50-2021","BC-50-2021","BC-50-21","BC-L-50","7/8/2021 (BC)","7/23/2021","Late",60.73831,-144.5687,"BC",2.45,48.7,NA,4.8,NA,12.2,NA,7.5,30.5,"M",0.036,"2-D5",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.342,"1-G5","Y","Y",5,"Y","Y",0.016,8.4,8.3,6.7,6.1,2.9,4.2,1.6,2.2,NA,"10/5/2021",88,"10/8/2021",28.4,0.6773,0.3227,NA,"10/8/2021",2,0.3522,955.4635,27.0375,8.725738636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-51-2021","BC-51-2021","BC-51-21","BC-L-51","7/8/2021 (BC)","7/23/2021","Late",60.73831,-144.5687,"BC",2.544,48,NA,5.5,NA,13,NA,7.4,32.6,"M",0.046,"2-C7",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.394,"1-F11","N","Y",5,"Y","Y",0.022,6.4,5.5,3.7,5.7,2.2,3.2,2.2,1.8,NA,"10/4/2021",81.6,"10/7/2021",26.8,0.6716,0.3284,NA,"10/8/2021",4,0.4261,923.3249,26.5413,8.716995588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-52-2021","BC-52-2021","BC-52-21","BC-L-52","7/8/2021 (BC)","7/24/2021","Late",60.73831,-144.5687,"BC",1.4,39.5,NA,3.1,NA,9.9,NA,6,26.6,"F",0.086,"3-B8",10,0.3831,NA,NA,NA,NA,4.3,NA,NA,1.264,"2-B4","N","Y",5,"Y","Y",0.04,6.1,6.1,5.8,4.8,2.8,3.4,3.1,3.8,NA,"10/4/2021",83.4,"10/7/2021",29,0.6523,0.3477,NA,"10/8/2021",2,0.1921,955.4635,26.7011,9.284555156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-53-2021","BC-53-2021","BC-53-21","BC-L-53","7/8/2021 (BC)","7/23/2021","Late",60.73831,-144.5687,"BC",2.274,45.6,NA,5,NA,12.5,NA,7.3,31.8,"M",0.048,"2-D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.158,"1-G2","N","Y",5,"Y","Y",0.026,2.9,3.4,1.9,2.5,1.4,1.5,1.1,1.3,NA,"10/4/2021",87.5,"10/8/2021",28,0.68,0.32,NA,"10/8/2021",4,0.3117,923.3249,26.1436,8.365952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-54-2021","BC-54-2021","BC-54-21","BC-L-54","7/8/2021 (BC)","7/23/2021","Late",60.73831,-144.5687,"BC",0.614,30.1,NA,2.7,NA,8.7,NA,4.9,20.5,"M",0.06,"2-C4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.542,"1-F8","NO READ","Y",5,"Y","Y",0.03,1,1.8,0.8,1.7,0.7,0.8,0.7,0.9,NA,"10/4/2021",56.8,"10/7/2021",14.7,0.7412,0.2588,NA,"10/8/2021",2,0.2764,955.4635,23.9872,6.20795493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-55-2021","BC-55-2021","BC-55-21","BC-L-55","7/8/2021 (BC)","7/23/2021","Late",60.73831,-144.5687,"BC",2.002,46.1,NA,4.3,NA,11.7,NA,6.4,29.7,"M",0.094,"2-D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84,"1-G1","N","Y",5,"Y","Y",0.046,5.4,6.7,4.3,4.8,2.1,2.3,1.3,1.8,NA,"10/4/2021",81.2,"10/8/2021",26.2,0.6773,0.3227,NA,"10/8/2021",4,0.287,923.3249,26.083,8.41594335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-56-2021","BC-56-2021","BC-56-21","BC-L-56","7/8/2021 (BC)","7/23/2021","Late",60.73831,-144.5687,"BC",2.65,47.7,NA,6.2,NA,13.2,NA,7.5,32.4,"M",0.082,"2-D4",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.508,"1-G4","N","Y",5,"Y","Y",0.04,1,1,0.7,0.8,0.6,1.2,0.5,0.7,NA,"10/4/2021",117.4,"10/8/2021",32.7,0.7215,0.2785,NA,"10/8/2021",2,0.2593,955.4635,24.6501,6.865913714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-57-2021","BC-57-2021","BC-57-21","BC-L-57","7/8/2021 (BC)","7/24/2021","Late",60.73831,-144.5687,"BC",1.14,39,NA,3,NA,9.1,NA,5.8,23.5,"F",0.076,"3-A7",10,0.3482,NA,NA,NA,NA,4,NA,NA,1.024,"2-A7","N","Y",5,"Y","Y",0.044,7.5,6.7,4.7,6,4.5,6.7,2.6,2.5,NA,"10/4/2021",79,"10/7/2021",24.4,0.6911,0.3089,NA,"10/8/2021",4,0.3116,923.3249,26.697,8.245655696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-58-2021","BC-58-2021","BC-58-21","BC-L-58","7/8/2021 (BC)","7/23/2021","Late",60.73831,-144.5687,"BC",2.364,48,NA,4.5,NA,12.8,NA,7,31.5,"M",0.056,"2-C8",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24,"1-F12","N","Y",5,"Y","Y",0.03,4.7,4.8,4,4.3,1,1.8,0.8,1.2,NA,"10/4/2021",83.9,"10/7/2021",25,0.702,0.298,NA,"10/8/2021",2,0.2917,955.4635,26.3691,7.857300358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-59-2021","BC-59-2021","BC-59-21","BC-L-59","7/8/2021 (BC)","7/24/2021","Late",60.73831,-144.5687,"BC",1.548,42.8,NA,3,NA,10,NA,6.6,26.4,"F",0.11,"3-B7",10,0.4809,NA,NA,NA,NA,5.05,NA,NA,1.388,"2-B3","N","Y",5,"Y","Y",0.048,7.3,6.3,6.3,5.4,3,4.6,2.9,4.1,NA,"10/4/2021",97.1,"10/8/2021",33.1,0.6591,0.3409,NA,"10/8/2021",4,0.4367,923.3249,26.5385,9.046594748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-60-2021","BC-60-2021","BC-60-21","BC-L-60","7/8/2021 (BC)","7/23/2021","Late",60.73831,-144.5687,"BC",2.85,49.4,NA,6.5,NA,13.2,NA,7.7,33.5,"M",0.076,"2-D3",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.704,"1-G3","N","Y",5,"Y","Y",0.036,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,NA,"10/4/2021",80.5,"10/7/2021",22,0.7267,0.2733,NA,"10/8/2021",2,0.279,955.4635,23.1759,6.333786335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
