Sample.num,Year.1,Year.2,L.grid.SI.Dur.days,L.grid.SI.Area.1,L.grid.SI.Area.2,Location,Spp,Stage,ID.I,ID.2,ID.3,Island,Date.Sample,Date.E1.RelNov1,Date.E1,Use.Ad.Data,Cul.L.mm,Cul.D.mm,Flipper.L.mm,R.PC1.2,Mass.g,Sex.1.M.F,Sex.2.M.F,Gel.num,Egg.Mass.g,Egg.L.mm,Egg.W.mm,delta.15.N,delta.13.C
20,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N10,A2,N10A2,TOR,11/16/07,16,11/16/07,Yes,46,21.5,194,3.47435,4200,MALE,0,9,127,72.4,55.5,9.116,-24.772
21,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N11,A1,N11A1,BIS,11/12/07,12,11/12/07,Yes,37.8,18.3,174,-1.58014,3400,FEMALE,1,9,122,67.1,55.8,8.738,-25.094
22,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N11,A2,N11A2,BIS,11/12/07,12,11/12/07,Yes,37.7,18.7,180,-0.90714,3600,MALE,0,9,122,67.1,55.8,8.663,-25.064
23,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N12,A1,N12A1,BIS,11/12/07,12,11/12/07,Yes,35.9,19.2,189,-0.31529,3800,FEMALE,1,14a,125,73.9,55.3,9.223,-25.035
24,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N12,A2,N12A2,BIS,11/12/07,12,11/12/07,Yes,38.2,18.1,185,-0.66605,3950,MALE,0,14a,125,73.9,55.3,8.434,-25.227
25,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N13,A1,N13A1,BIS,11/10/07,10,11/10/07,Yes,38.8,17.2,180,-1.38463,3800,MALE,0,9,138,73.9,57.8,9.640,-25.299
26,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N13,A2,N13A2,BIS,11/10/07,10,11/10/07,Yes,35.3,18.9,187,-0.76183,3800,FEMALE,1,14a,138,73.9,57.8,9.213,-24.361
27,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N17,A1,N17A1,BIS,11/12/07,12,11/12/07,Yes,40.6,18.6,183,-0.05494,3550,MALE,0,9,120,69.7,54.9,8.940,-25.363
28,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N17,A2,N17A2,BIS,11/12/07,12,11/12/07,Yes,40.5,17.9,187,-0.08016,3200,FEMALE,1,9,120,69.7,54.9,8.081,-25.494
31,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N21,A1,N21A1,DRE,11/09/07,9,11/09/07,Yes,39.5,16.7,178,-1.63663,3250,FEMALE,1,3,125,69.6,55.6,9.698,-25.112
32,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N21,A2,N21A2,DRE,11/09/07,9,11/09/07,Yes,37.2,18.1,178,-1.47605,3900,MALE,0,3,125,69.6,55.6,9.728,-25.010
33,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N22,A1,N22A1,DRE,11/09/07,9,11/09/07,Yes,39.5,17.8,188,-0.26856,3300,FEMALE,1,6b,111,64.6,54.4,9.665,-25.060
34,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N22,A2,N22A2,DRE,11/09/07,9,11/09/07,Yes,40.9,18.9,184,0.24071,3900,MALE,0,6b,111,64.6,54.4,8.797,-25.146
35,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N23,A1,N23A1,DRE,11/16/07,16,11/16/07,Yes,36.4,17,195,-0.76248,3325,FEMALE,1,10,125,73.4,54.9,9.178,-25.231
36,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N23,A2,N23A2,DRE,11/16/07,16,11/16/07,Yes,39.2,21.1,196,1.92641,4150,MALE,0,10,125,73.4,54.9,9.153,-25.035
37,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N24,A1,N24A1,DRE,11/16/07,16,11/16/07,Yes,38.8,20,190,0.80371,3950,MALE,0,10,119,69,54.9,9.190,-25.123
38,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N24,A2,N24A2,DRE,11/16/07,16,11/16/07,Yes,42.2,18.5,180,0.00383,3550,FEMALE,1,10,119,69,54.9,8.048,-25.495
41,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N26,A1,N26A1,DRE,11/16/07,16,11/16/07,Yes,36.5,18,182,-1.34609,3150,FEMALE,1,10,127,72.7,55.5,9.689,-24.423
43,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N27,A1,N27A1,DRE,11/19/07,19,11/19/07,Yes,36,18.5,186,-0.88185,3100,FEMALE,1,10,101,64.3,52.8,9.508,-25.035
44,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N27,A2,N27A2,DRE,11/19/07,19,11/19/07,Yes,44.1,19.7,196,2.34792,4400,MALE,0,10,101,64.3,52.8,9.237,-24.527
45,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N28,A1,N28A1,DRE,11/16/07,16,11/16/07,Yes,37,16.9,185,-1.51372,3000,FEMALE,1,10,114,68.8,54.1,9.364,-25.017
46,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N28,A2,N28A2,DRE,11/16/07,16,11/16/07,Yes,39.6,18.8,190,0.40380,4600,MALE,0,10,114,68.8,54.1,9.491,-24.103
49,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N30,A1,N30A1,DRE,11/13/07,13,11/13/07,Yes,36,17.9,190,-0.83643,3450,FEMALE,1,10,137,74.2,57.6,9.518,-25.077
50,2007/08,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N30,A2,N30A2,DRE,11/13/07,13,11/13/07,Yes,42.3,21.2,191,2.25004,4150,MALE,0,10,137,74.2,57.6,8.880,-25.185
51,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N21,A1,N21A1,BIS,11/06/08,6,11/06/08,Yes,39.6,17.7,186,-0.46188,3500,FEMALE,1,11,119,73.6,53.6,8.466,-26.130
52,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N21,A2,N21A2,BIS,11/06/08,6,11/06/08,Yes,40.1,18.9,188,0.39653,4300,MALE,0,11,119,73.6,53.6,8.514,-26.556
53,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N22,A1,N22A1,BIS,11/09/08,9,11/09/08,Yes,35,17.9,190,-1.06031,3450,FEMALE,1,11,125,71.7,55.7,8.195,-26.172
54,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N22,A2,N22A2,BIS,11/09/08,9,11/09/08,Yes,42,19.5,200,2.11619,4050,MALE,0,11,125,71.7,55.7,8.481,-26.315
55,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N23,A1,N23A1,BIS,11/09/08,9,11/09/08,Yes,34.5,18.1,187,-1.32695,2900,FEMALE,1,11,103,64.7,52.7,8.418,-26.547
56,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N23,A2,N23A2,BIS,11/09/08,9,11/09/08,Yes,41.4,18.6,191,0.79402,3700,MALE,0,11,103,64.7,52.7,8.354,-26.279
57,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N24,A1,N24A1,BIS,11/15/08,15,11/15/08,Yes,39,17.5,186,-0.69272,3550,FEMALE,1,11,119,70.7,54.8,8.572,-26.072
58,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N24,A2,N24A2,BIS,11/15/08,15,11/15/08,Yes,40.6,18.8,193,0.87888,3800,MALE,0,11,119,70.7,54.8,8.567,-25.988
59,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N25,A1,N25A1,BIS,11/15/08,15,11/15/08,Yes,36.5,16.6,181,-2.10533,2850,FEMALE,1,11,120,68.5,56.3,9.079,-25.882
60,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N25,A2,N25A2,BIS,11/15/08,15,11/15/08,Yes,37.6,19.1,194,0.43572,3750,MALE,0,11,120,68.5,56.3,9.108,-25.897
61,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N27,A1,N27A1,BIS,11/13/08,12,11/13/08,Yes,35.7,16.9,185,-1.80476,3150,FEMALE,1,11,101,64.4,52.3,8.965,-26.409
62,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N27,A2,N27A2,BIS,11/13/08,12,11/13/08,Yes,41.3,21.1,195,2.31283,4400,MALE,0,11,101,64.4,52.3,8.748,-26.378
63,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N28,A1,N28A1,BIS,11/13/08,12,11/13/08,Yes,37.6,17,185,-1.33114,3600,FEMALE,1,11,129,73.5,55.8,8.581,-26.216
64,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N28,A2,N28A2,BIS,11/13/08,12,11/13/08,Yes,41.1,18.2,192,0.61758,4050,MALE,0,11,129,73.5,55.8,8.623,-26.600
65,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N29,A1,N29A1,BIS,11/13/08,12,11/13/08,Yes,36.4,17.1,184,-1.63527,2850,FEMALE,1,17,120,70.3,55.4,8.626,-26.117
66,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N29,A2,N29A2,BIS,11/13/08,12,11/13/08,Yes,41.6,18,192,0.63302,3950,MALE,0,11,120,70.3,55.4,8.856,-26.093
67,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N30,A1,N30A1,BIS,11/06/08,6,11/06/08,Yes,35.5,16.2,195,-1.34998,3350,FEMALE,1,11,94,65.6,50.4,8.562,-25.955
68,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N30,A2,N30A2,BIS,11/06/08,6,11/06/08,Yes,41.1,19.1,188,0.71691,4100,MALE,0,11,94,65.6,50.4,8.711,-25.810
71,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N34,A1,N34A1,TOR,11/15/08,14,11/14/08,Yes,33.5,19,190,-0.86538,3600,FEMALE,1,12,133,70.4,55.3,7.889,-26.631
72,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N34,A2,N34A2,TOR,11/15/08,14,11/14/08,Yes,39.7,18.4,190,0.23319,3900,MALE,0,12,133,70.4,55.3,9.298,-25.235
73,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N35,A1,N35A1,TOR,11/11/08,11,11/11/08,Yes,39.6,17.2,196,0.13417,3550,FEMALE,1,12,141,72.2,58.7,8.335,-26.554
74,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N35,A2,N35A2,TOR,11/11/08,11,11/11/08,Yes,45.8,18.9,197,2.42624,4150,MALE,0,12,141,72.2,58.7,8.187,-26.460
75,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N36,A1,N36A1,TOR,11/08/08,8,11/08/08,Yes,35.5,17.5,190,-1.14138,3700,FEMALE,1,12,103,67.2,52.2,8.706,-26.150
76,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N36,A2,N36A2,TOR,11/08/08,8,11/08/08,Yes,42.8,18.5,195,1.39413,4250,MALE,0,12,103,67.2,52.2,8.299,-26.390
77,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N37,A1,N37A1,TOR,11/07/08,6,11/06/08,Yes,40.9,16.8,191,-0.18644,3700,FEMALE,1,12,137,72.1,57.6,8.473,-26.020
78,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N37,A2,N37A2,TOR,11/07/08,6,11/06/08,Yes,37.2,19.4,184,-0.34640,3900,MALE,0,12,137,72.1,57.6,8.355,-26.448
79,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N38,A1,N38A1,TOR,11/10/08,9,11/09/08,Yes,36.2,16.1,187,-1.91137,3550,FEMALE,1,12,118,69.1,55,7.824,-26.514
80,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N38,A2,N38A2,TOR,11/10/08,9,11/09/08,Yes,42.1,19.1,195,1.52692,4000,MALE,0,12,118,69.1,55,9.057,-25.815
81,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N39,A1,N39A1,TOR,11/04/08,2,11/02/08,Yes,34.6,17.2,189,-1.57135,3200,FEMALE,1,12,115,73.1,53.1,7.698,-26.539
82,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N39,A2,N39A2,TOR,11/04/08,2,11/02/08,Yes,42.9,17.6,196,1.06599,4700,MALE,0,12,115,73.1,53.1,8.633,-26.230
83,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N40,A1,N40A1,TOR,11/07/08,7,11/07/08,Yes,36.7,18.8,187,-0.49665,3800,FEMALE,1,12,129,71.1,56.3,7.885,-26.248
84,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N40,A2,N40A2,TOR,11/07/08,7,11/07/08,Yes,35.1,19.4,193,-0.06297,4200,MALE,0,12,129,71.1,56.3,8.900,-26.463
85,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N41,A1,N41A1,DRE,11/17/08,17,11/17/08,Yes,37.3,17.8,191,-0.50991,3350,FEMALE,1,12,114,70,53.3,8.327,-26.384
86,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N41,A2,N41A2,DRE,11/17/08,17,11/17/08,Yes,41.3,20.3,194,1.84309,3550,MALE,0,12,114,70,53.3,9.149,-26.096
87,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N42,A1,N42A1,DRE,11/08/08,7,11/07/08,Yes,36.3,19.5,190,0.00275,3800,MALE,0,12,111,68.5,54,8.571,-26.222
88,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N42,A2,N42A2,DRE,11/08/08,7,11/07/08,Yes,36.9,18.6,189,-0.38091,3500,FEMALE,1,12,111,68.5,54,8.591,-26.082
89,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N44,A1,N44A1,DRE,11/08/08,8,11/08/08,Yes,38.3,19.2,189,0.22203,3950,MALE,0,12,122,68.1,56.9,9.078,-26.124
90,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N44,A2,N44A2,DRE,11/08/08,8,11/08/08,Yes,38.9,18.8,190,0.24708,3600,FEMALE,1,12,122,68.1,56.9,8.369,-26.112
91,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N45,A1,N45A1,DRE,11/14/08,14,11/14/08,Yes,35.7,18,202,0.14943,3550,FEMALE,1,13,123,69.3,56,8.465,-26.056
92,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N45,A2,N45A2,DRE,11/14/08,14,11/14/08,Yes,41.1,18.1,205,1.65784,4300,MALE,0,13,123,69.3,56,8.770,-25.834
93,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N46,A1,N46A1,DRE,11/05/08,5,11/05/08,Yes,34,17.1,185,-2.08886,3400,FEMALE,1,13,124,71.2,54.9,8.015,-26.695
94,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N46,A2,N46A2,DRE,11/05/08,5,11/05/08,Yes,39.6,18.1,186,-0.26888,4450,MALE,0,13,124,71.2,54.9,8.499,-26.424
95,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N48,A1,N48A1,DRE,11/17/08,17,11/17/08,Yes,36.2,17.3,187,-1.33236,3300,FEMALE,1,13,129,69.5,57.9,8.907,-26.300
96,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N48,A2,N48A2,DRE,11/17/08,17,11/17/08,Yes,40.8,18.9,208,2.22787,4300,MALE,0,13,129,69.5,57.9,8.482,-26.579
97,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N49,A1,N49A1,DRE,11/08/08,7,11/07/08,Yes,38.1,18.6,190,-0.02852,3700,FEMALE,1,13,126,68.1,57.2,8.103,-26.501
98,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N49,A2,N49A2,DRE,11/08/08,7,11/07/08,Yes,40.3,18.5,196,0.91815,4350,MALE,0,13,126,68.1,57.2,8.395,-26.012
99,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N50,A1,N50A1,DRE,11/10/08,10,11/10/08,Yes,33.1,16.1,178,-3.35898,2900,FEMALE,1,13,113,70,53.4,9.042,-26.158
100,2008/09,2,117,60532.06,47148.46,PAL,ADPE,AD 1E,N50,A2,N50A2,DRE,11/10/08,10,11/10/08,Yes,43.2,18.5,192,1.23249,4100,MALE,0,13,113,70,53.4,8.970,-26.037
101,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N47,A1,N47A1,BIS,11/09/09,9,11/09/09,Yes,35,17.9,192,-0.89285,3725,FEMALE,1,18,128,72.3,56.2,8.845,-26.281
102,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N47,A2,N47A2,BIS,11/09/09,9,11/09/09,Yes,41,20,203,2.38475,4725,MALE,0,18,128,72.3,56.2,9.011,-26.381
103,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N49,A1,N49A1,BIS,11/15/09,15,11/15/09,Yes,37.7,16,183,-1.95872,3075,FEMALE,1,18,118,70.5,54.9,9.215,-26.225
104,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N49,A2,N49A2,BIS,11/15/09,15,11/15/09,Yes,37.8,20,190,0.57983,4250,MALE,0,18,118,70.5,54.9,9.519,-25.692
107,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N53,A1,N53A1,BIS,11/15/09,15,11/15/09,Yes,38.6,17.2,199,0.16149,3750,FEMALE,1,18,112,69.9,53.3,8.773,-26.490
108,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N53,A2,N53A2,BIS,11/15/09,15,11/15/09,Yes,38.2,20,190,0.66938,3900,MALE,0,18,112,69.9,53.3,9.592,-25.707
109,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N55,A1,N55A1,BIS,11/20/09,19,11/19/09,Yes,38.1,17,181,-1.55412,3175,FEMALE,1,20b,88,60.8,51.2,9.795,-25.274
110,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N55,A2,N55A2,BIS,11/20/09,19,11/19/09,Yes,43.2,19,197,1.89240,4775,MALE,0,20b,88,60.8,51.2,9.317,-25.452
111,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N58,A1,N58A1,BIS,11/12/09,12,11/12/09,Yes,38.1,16.5,198,-0.37194,3825,FEMALE,1,18,140,73.3,58.2,8.440,-26.576
112,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N58,A2,N58A2,BIS,11/12/09,12,11/12/09,Yes,45.6,20.3,191,2.55459,4600,MALE,0,18,140,73.3,58.2,8.655,-26.329
113,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N60,A1,N60A1,BIS,11/15/09,14,11/14/09,Yes,39.7,17.7,193,0.14662,3200,FEMALE,1,18,124,68.2,56.7,9.027,-26.062
114,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N60,A2,N60A2,BIS,11/15/09,14,11/14/09,Yes,42.2,19.5,197,1.90977,4275,MALE,0,18,124,68.2,56.7,8.802,-26.412
115,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N61,A1,N61A1,BIS,11/17/09,17,11/17/09,Yes,39.6,20.7,191,1.40430,3900,FEMALE,1,19,120,67.2,56,8.810,-26.790
116,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N61,A2,N61A2,BIS,11/17/09,17,11/17/09,Yes,42.7,18.3,196,1.35897,4075,MALE,0,19,120,67.2,56,8.914,-26.420
117,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N63,A1,N63A1,TOR,11/19/09,18,11/18/09,Yes,38.6,17,188,-0.85606,2900,FEMALE,1,19,122,71.7,54.8,9.180,-25.773
118,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N63,A2,N63A2,TOR,11/19/09,18,11/18/09,Yes,37.3,20.5,199,1.46272,3775,MALE,0,19,122,71.7,54.8,9.496,-26.367
119,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N64,A1,N64A1,TOR,11/22/09,22,11/22/09,Yes,35.7,17,189,-1.42159,3350,FEMALE,1,20b,104,67.3,52.4,8.964,-23.903
120,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N64,A2,N64A2,TOR,11/22/09,22,11/22/09,Yes,41.1,18.6,189,0.55939,3325,MALE,0,20b,104,67.3,52.4,9.323,-26.100
123,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N67,A1,N67A1,TOR,11/16/09,16,11/16/09,Yes,40.2,17,176,-1.50262,3450,FEMALE,1,18,136,71.7,57.5,9.307,-25.610
124,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N67,A2,N67A2,TOR,11/16/09,16,11/16/09,Yes,41.4,18.5,202,1.66681,3875,MALE,0,18,136,71.7,57.5,9.595,-25.426
125,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N69,A1,N69A1,TOR,11/18/09,18,11/18/09,Yes,35.2,15.9,186,-2.31548,3050,FEMALE,1,19,99,68.2,50.6,8.817,-25.954
126,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N69,A2,N69A2,TOR,11/18/09,18,11/18/09,Yes,40.6,19,199,1.47777,4000,MALE,0,19,99,68.2,50.6,9.225,-25.608
127,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N71,A1,N71A1,TOR,11/21/09,21,11/21/09,Yes,38.8,17.6,191,-0.27058,3275,FEMALE,1,20b,127,73,55.3,8.881,-25.897
128,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N71,A2,N71A2,TOR,11/21/09,21,11/21/09,Yes,41.5,18.3,195,1.00658,4300,MALE,0,20b,127,73,55.3,8.526,-26.025
129,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N72,A1,N72A1,TOR,11/19/09,18,11/18/09,Yes,39,17.1,191,-0.46706,3050,FEMALE,1,20b,111,67.7,53.9,9.190,-25.737
130,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N72,A2,N72A2,TOR,11/19/09,18,11/18/09,Yes,44.1,18,210,2.69989,4000,MALE,0,20b,111,67.7,53.9,9.107,-26.014
133,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N76,A1,N76A1,DRE,11/10/09,10,11/10/09,Yes,36.8,18.5,193,-0.11663,3500,FEMALE,1,18,98,66.4,51,8.987,-25.576
134,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N76,A2,N76A2,DRE,11/10/09,10,11/10/09,Yes,37.5,18.5,199,0.54248,4475,MALE,0,18,98,66.4,51,8.567,-26.493
135,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N77,A1,N77A1,DRE,11/13/09,13,11/13/09,Yes,38.1,17.6,187,-0.76223,3425,FEMALE,1,18,129,73.5,55.8,8.717,-25.780
136,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N77,A2,N77A2,DRE,11/13/09,13,11/13/09,Yes,41.1,17.5,190,0.11236,3900,MALE,0,18,129,73.5,55.8,8.944,-26.069
137,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N78,A1,N78A1,DRE,11/17/09,16,11/16/09,Yes,35.6,17.5,191,-1.03526,3175,FEMALE,1,19,108,63.5,54.7,8.760,-25.977
138,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N78,A2,N78A2,DRE,11/17/09,16,11/16/09,Yes,40.2,20.1,200,2.00271,3975,MALE,0,19,108,63.5,54.7,8.960,-26.326
141,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N80,A1,N80A1,DRE,11/16/09,14,11/14/09,Yes,40.2,17.1,193,-0.03094,3400,FEMALE,1,19,128,71.9,55.6,9.288,-25.550
142,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N80,A2,N80A2,DRE,11/16/09,14,11/14/09,Yes,40.6,17.2,187,-0.39553,3475,MALE,0,19,128,71.9,55.6,9.234,-26.015
143,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N81,A1,N81A1,DRE,11/16/09,16,11/16/09,Yes,32.1,15.5,188,-3.03506,3050,FEMALE,1,19,117,68.8,56,8.798,-26.611
144,2009/10,3,168,80582.44,157486.72,PAL,ADPE,AD 1E,N81,A2,N81A2,DRE,11/16/09,16,11/16/09,Yes,40.7,17,190,-0.21845,3725,MALE,0,19,117,68.8,56,9.057,-25.795
