"","X","Fish_ID_Revised","Fish_ID","GillClip_ID_Revised","GillClip_ID","Collection_Date","RunTimingGroup","Collection_Location","Processing_Date","Col_Location_Lat","Col_Location_Long","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","DWP.","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Oto_Well_ID","Strontium_marked_Y.N","Scales_Y.N","Scales_num","Fish_Ground_Y.N","Gonad_Saved_Y.N","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Dissect_Comments","SpawnStatus","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Dry_Comments","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_1","Bomb_ID_2","Bomb_PelletWt_g_2","EE_value_2","EnergyDensity_mJ.kg_2","EnergyPDry_2","Bomb_ID_3","Bomb_PelletWt_g_3","EE_value_3","EnergyDensity_mJ.kg_3","EnergyPDry_3","Bomb_ID_4","Bomb_PelletWt_g_4","EE_value_4","EnergyDensity_mJ.kg_4","EnergyPDry_4","BC_comments","Collection_RiverMile_m","Elevation_m","Year","Group_Assignment","Fish_Leng_1_mm","Fish_Leng_2_mm","Fish_Ht_mm","Fish_Grth_mm","Fish_Wt_g","bodysize_pc_g_mm","Fish_Wdth_mm","Predicted_Fish_Wdth_mm","fineness"
"11",21,"MN-1-2019","MN1-2019","MN-1-19","MN1","2019-07-26",NA,"Mentasta","8/5/19",62.94958,-143.35984,2.256,44.3,46.7,8.1,9.8,13.5,15,5.3,32.3,"M",0.018,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.164,"1-E2","N","Y","5","Y","Y",0.008,0.4,0.4,0.4,0.4,0.5,0.4,0.6,0.4,"POST SPAWNER, GONADS MOSTLY EMPTY",2,"11/10/19",147,"11/25/19",26.2,"0.8218","0.1782","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/19",4,0.4985,923.3249,20.0086,3.566158639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2019,"Slana",443,81,135,323,2256,0.703691751002507,53,58.8909248983904,8.35849056603774
"12",22,"MN-2-2019","MN2-2019","MN-2-19","MN2","2019-07-26",NA,"Mentasta","8/5/19",62.94958,-143.35984,2.52,45.2,48.6,8.6,9.4,14.3,15.9,5.7,32.8,"M",0.022,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-E3","N","Y","5","Y","Y",0.014,0.4,0.7,0.5,0.4,0.5,0.4,0.6,0.4,"",0,"11/15/19",123,"11/21/19",22.8,"0.8146","0.1854","","12/11/19",2,0.3264,923.1981,20.3689,3.775698537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2019,"Slana",452,86,143,328,2520,1.15344100365702,57,60.8229502196161,7.92982456140351
"13",23,"MN-3-2019","MN3-2019","MN-3-19","MN3","2019-07-26",NA,"Mentasta","8/5/19",62.94958,-143.35984,2.1,45.1,45.8,7.2,8.1,12.8,14.9,5.6,32.4,"M",0.018,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.974,"1-E7","N","Y","5","Y","Y",0.008,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,"PARTIAL SPAWNER",1,"11/15/19",145,"11/21/19",28.9,"0.8007","0.1993","","12/11/19",4,0.3084,923.3249,21.4914,4.283458345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2019,"Slana",451,72,128,324,2100,0.668124605050595,56,57.7492735722116,8.05357142857143
"14",24,"MN-4-2019","MN4-2019","MN-4-19","MN4","2019-07-26",NA,"Mentasta","8/5/19",62.94958,-143.35984,2.368,45.5,46.4,6.9,7.7,14.1,15.6,5.7,33.1,"M",0.058,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.168,"1-E8","N","Y","5","Y","Y",0.026,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.5,"",0,"11/15/19",93.5,"11/21/19",18.8,"0.7989","0.2011","","12/11/19",2,0.2499,923.1981,20.6084,4.14372107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2019,"Slana",455,69,141,331,2368,1.19536949960598,57,59.7105720043649,7.98245614035088
"15",25,"MN-5-2019","MN5-2019","MN-5-19","MN5","2019-07-26",NA,"Mentasta","8/5/19",62.94958,-143.35984,2.428,46.3,48.5,7.9,8.4,12.8,13.9,5.5,32.5,"M",0.062,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.268,"1-E6","N","Y","5","Y","Y",0.034,0.5,0.7,0.6,0.4,0.4,0.4,0.7,0.5,"PARTIAL SPAWNER",1,"11/15/19",93.8,"11/21/19",17.9,"0.8092","0.1908","","12/11/19",4,0.4327,923.3249,20.2265,3.859854478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2019,"Slana",463,79,128,325,2428,0.894132003137888,55,60.1496686682799,8.41818181818182
"16",34,"SA-4-2019","SA4-2019","SA-4-19","SA4","2019-08-20",NA,"St Anne","9/3/19",61.73953006,-145.9685194,2.568,46.4,47.5,8.3,8.6,15.1,15.7,6.2,35.2,"M",0.05,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.348,"2-D3","N","Y","5","Y","Y",0.026,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.5,"",0,"12/18/19",130.9,"12/31/19",28.4,"0.783","0.217","","2/6/20",4,0.1791,923.3249,19.7205,4.278550038,2,0.2765,923.1981,20.6741,4.485442628,4,0.3136,923.3249,20.062,4.352641711,NA,NA,NA,NA,NA,NA,319323.05,531,2019,"KlutinaLake",464,83,151,352,2568,1.93258180640418,62,61.174227550748,7.48387096774194
"17",35,"SA-5-2019","SA5-2019","SA-5-19","SA5","2019-08-20",NA,"St Anne","9/4/19",61.73953006,-145.9685194,2.384,48.8,48.5,7.3,6.9,14.7,15.2,6.3,35.1,"M",0.046,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.168,"2-E8","N","Y","5","Y","Y",0.024,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,"can't find sample",3,"",NA,"",NA,"#DIV/0!","#DIV/0!","CAN'T FIND SAMPLE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2019,"KlutinaLake",488,73,147,351,2384,2.23173989784094,63,59.8276644480756,7.74603174603175
"18",37,"SA-7-2019","SA7-2019","SA-7-19","SA7","2019-08-20",NA,"St Anne","9/1/19",61.73953006,-145.9685194,1.786,43.8,46.2,7,6.1,12.3,12,5.6,28,"M",0.07,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.598,"2-C7","N","Y","5","Y","Y",0.038,0.7,0.8,0.7,0.8,0.7,0.8,0.8,0.7,"",0,"12/18/19",123.2,"12/31/19",29,"0.7646","0.2354","","2/6/20",4,0.2716,923.3249,22.2772,5.243821429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2019,"KlutinaLake",438,70,123,280,1786,-0.337823887214201,56,55.4513343643901,7.82142857142857
"19",38,"SA-8-2019","SA8-2019","SA-8-19","SA8","2019-08-20",NA,"St Anne","9/1/19",61.73953006,-145.9685194,1.882,43.7,44.3,6.8,7.1,13.8,14.3,6,34.1,"M",0.072,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.734,"2-B10","N","Y","5","Y","Y",0.03,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.6,"",0,"12/18/19",112.4,"12/31/19",19.9,"0.823","0.177","","2/6/20",2,0.3699,923.1981,20.8056,3.683553737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2019,"KlutinaLake",437,68,138,341,1882,0.941834987673612,60,56.153889026654,7.28333333333333
"20",39,"SA-9-2019","SA9-2019","SA-9-19","SA9","2019-08-20",NA,"St Anne","9/1/19",61.73953006,-145.9685194,1.434,NA,NA,NA,NA,NA,NA,NA,NA,"M",0.042,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.326,"2-C1","N","Y",NA,"Y","Y",0.014,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,"",0,"12/18/19",159.1,"12/31/19",30.7,"0.807","0.193","","2/6/20",4,0.3289,23.3249,20.369,3.930410434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2019,"KlutinaLake",420.939262761572,NA,112.684194701826,267.238105818718,1434,-1.10579798502197,52.8753006027558,52.8753006027558,7.960980986643
"21",41,"LL-1-2019","LL1-2019","LL-1-19","LL1","2019-08-24",NA,"Long Lake","9/4/19",61.37920879,-143.30713,2.348,47.1,48.6,5.4,6,12,12.1,7.1,30.3,"M",0.07,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.186,"2-E7","N","Y","5","Y","Y",0.032,1.3,1.4,0.8,0.9,0.9,0.8,0.8,0.8,"FM IN FIELD 0.8, 0.8, 0.8, 0.7",0,"12/18/19",128.9,"12/31/19",36.4,"0.7176","0.2824","","2/6/20",4,0.4509,923.3249,24.4802,6.912950194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2019,"Chitina",471,54,120,303,2348,0.496521569657474,71,59.5642064497266,6.63380281690141
"22",42,"LL-2-2019","LL2-2019","LL-2-19","LL2","2019-08-24",NA,"Long Lake","9/4/19",61.37920879,-143.30713,1.814,44.3,45.9,4.6,5.4,10.6,10.2,6.4,26.7,"M",0.036,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.716,"2-E6","N","Y","5","Y","Y",0.018,1,0.9,0.8,0.7,0.8,0.7,0.7,0.7,"FM IN FIELD 0.7, 0.7, 0.6, 0.6",0,"12/18/19",129.4,"12/31/19",35.8,"0.7233","0.2767","","2/6/20",2,0.41,923.1981,23.7683,6.575773879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2019,"Chitina",443,46,106,267,1814,-0.902997878056113,64,55.6562461408837,6.921875
"23",43,"LL-3-2019","LL3-2019","LL-3-19","LL3","2019-08-24",NA,"Long Lake","",61.37920879,-143.30713,2.312,47.5,49.3,6,6.7,12.1,12.2,6.9,30.2,"M",0.056,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.164,"2-D12","N","Y",NA,"Y","Y",0.026,1.1,1,0.9,0.8,0.7,0.8,0.7,0.8,"FM IN FIELD 0.7, 0.7, 0.6, 0.5",0,"12/18/19",164.8,"12/31/19",42.4,"0.7427","0.2573","","2/6/20",4,0.395,923.3249,24.0521,6.18816165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2019,"Chitina",475,60,121,302,2312,0.579750467363159,69,59.3007484513777,6.88405797101449
"24",44,"LL-4-2019","LL4-2019","LL-4-19","LL4","2019-08-24",NA,"Long Lake","9/3/19",61.37920879,-143.30713,2.276,46.2,47,5.8,6,12.8,12.1,6.6,31,"M",0.058,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.168,"2-D10","N","Y","5","Y","Y",0.024,1,1.3,0.8,0.9,0.7,0.7,0.7,0.7,"FM IN FIELD 0.9, 0.8, 0.7, 0.6",0,"12/18/19",104.3,"12/31/19",29.7,"0.7152","0.2848","","2/6/20",2,0.3563,923.1981,24.0087,6.836609684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2019,"Chitina",462,58,128,310,2276,0.658199135954269,66,59.0372904530287,7
"25",45,"LL-5-2019","LL5-2019","LL-5-19","LL5","2019-08-24",NA,"Long Lake","9/3/19",61.37920879,-143.30713,2.31,48.2,49.7,5.6,5.8,11.8,11.4,6.6,29.4,"M",0.056,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.172,"2-D11","N","Y","5","Y","Y",0.026,1.3,0.9,1.1,1,1.2,0.9,1,1.1,"FM IN FIELD 1.0, 0.8, 0.8, 0.7",0,"12/18/19",91.2,"12/31/19",26.1,"0.7138","0.2862","","2/11/20",4,0.2979,923.3249,23.4465,6.710018092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2019,"Chitina",482,56,118,294,2310,0.504769511056787,66,59.2861118959138,7.3030303030303
"26",52,"MA-2-2019","MA2-2019","MA-2-19","MA2","2019-08-20",NA,"Mahlo","9/3/19",61.73588,-145.7294181,1.482,42.6,44.1,4.4,4.3,13,12.5,4.5,27.6,"M",0.03,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.344,"2-D1","N","Y","5","Y","Y",0.014,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.5,"POSSIBLY A PARTIAL SPAWNER",1,"12/31/19",94.1,"1/20/20",16.8,"0.8215","0.1785","","2/11/20",2,0.257,923.1981,19.23,3.433198725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2019,"KlutinaLake",426,44,130,276,1482,-0.416403520261459,45,53.2265779338877,9.46666666666667
"27",54,"MA-4-2019","MA4-2019","MA-4-19","MA4","2019-08-20",NA,"Mahlo","9/3/19",61.73588,-145.7294181,2.414,46.9,48.4,8.3,9.3,14.3,14.7,6.5,33.1,"M",0.05,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.272,"2-D9","N","Y","5","Y","Y",0.024,0.5,0.5,0.6,0.4,0.6,0.4,0.5,0.4,"",0,"12/31/19",105.6,"1/20/20",22.1,"0.7907","0.2093","","2/11/20",2,0.3479,923.1981,21.3625,4.470750473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2019,"KlutinaLake",469,83,143,331,2414,1.49666217010667,65,60.047212780033,7.21538461538462
"28",56,"MA-6-2019","MA6-2019","MA-6-19","MA6","2019-08-20",NA,"Mahlo","9/3/19",61.73588,-145.7294181,1.602,43.8,43.7,5.1,5.7,12.3,12.6,5.2,26.3,"M",0.036,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.488,"2-E2","N","Y","5","Y","Y",0.014,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.6,"",0,"2/5/20",114.3,"2/11/20",22.1,"0.8066","0.1934","","2/14/20",2,0.2543,923.1981,19.4865,3.767730971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2019,"KlutinaLake",438,51,123,263,1602,-0.585243882398415,52,54.1047712617176,8.42307692307692
"29",57,"MA-7-2019","MA7-2019","MA-7-19","MA7","2019-08-20",NA,"Mahlo","9/3/19",61.73588,-145.7294181,2.32,48.8,50.1,5.4,6.7,15,15.8,6.9,35.4,"M",0.036,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.118,"2-D8","N","Y","5","Y","Y",0.016,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.4,"",0,"2/5/20",84.2,"2/11/20",16.5,"0.804","0.196","","2/14/20",4,0.2717,923.3249,19.0055,3.724355701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2019,"KlutinaLake",488,54,150,354,2320,2.35729801441715,69,59.359294673233,7.07246376811594
"30",58,"MA-8-2019","MA8-2019","MA-8-19","MA8","2019-08-20",NA,"Mahlo","9/4/19",61.73588,-145.7294181,2.14,46.3,47.2,7.8,7.6,14.4,14.6,6.5,34,"M",0.032,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.012,"2-E10","N","Y","5","Y","Y",0.012,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.4,"",0,"2/5/20",80.9,"2/11/20",16.2,"0.7998","0.2002","","2/14/20",2,0.3651,923.1981,19.7064,3.946151792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2019,"KlutinaLake",463,78,144,340,2140,1.54922117418053,65,58.0420046814882,7.12307692307692
"31",66,"TN-6-2019","TNL6-2019","TN-6-19","TNL6","2019-09-10",NA,"Tanada","9/19/19",62.45133,-143.382153,3.54,50.02,50.09,9.09,10.02,18.04,20.06,5.05,42.03,"M",0.06,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.26,"2-F6","N","Y","5","Y","Y",0.03,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.5,"",0,"2/5/20",122.2,"2/11/20",24.4,"0.8003","0.1997","","2/14/20",2,0.2394,923.1981,21.7521,4.343299836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2019,"TanadaCopperLakes",500.2,90.9,180.4,420.3,3540,4.36709057781785,50.5,68.28759350617,9.9049504950495
